Severity|Count|Node|Property|First Occurrence|Summary
1|4|media_fe2|Media|2015-02-27 00:00:19|Apache latency
3|5|mail_fe2|Mail|2015-02-27 01:44:37|Down to ping
1|4|fp_fe1|Frontpage|2015-02-27 01:44:53|Apache latency
4|9|mail_mw1|Mail|2015-02-27 01:45:16|Down to ping
3|7|fp_mw7|Frontpage|2015-02-27 01:46:16|Hardware error
2|3|search_fe7|Search|2015-02-27 01:47:45|Capacity exceeded
4|4|flickr_db4|Flickr|2015-02-27 01:48:05|Software error
3|1|mail_be1|Mail|2015-02-27 01:48:08|Capacity exceeded
2|4|mail_fe7|Mail|2015-02-27 01:48:08|Capacity exceeded
3|7|rev_mw9|Revenue|2015-02-27 01:48:33|Software error
1|3|rev_fe8|Revenue|2015-02-27 01:49:00|Apache latency
3|10|fp_fe3|Frontpage|2015-02-27 01:49:09|Down to ping
4|1|messenger_be6|Messenger|2015-02-27 01:49:49|Down to ping
1|8|rev_fe7|Revenue|2015-02-27 01:50:15|Apache latency
1|7|mail_fe2|Mail|2015-02-27 01:51:36|Apache latency
4|10|flickr_be4|Flickr|2015-02-27 01:52:27|Down to ping
3|1|fp_be4|Frontpage|2015-02-27 01:53:54|Software error
3|6|messenger_mw5|Messenger|2015-02-27 01:54:39|Capacity exceeded
6|9|flickr_mon1|Flickr|2015-02-27 01:55:48|Site down
4|10|mail_be3|Mail|2015-02-27 01:56:18|Down to ping
1|1|mail_fe3|Mail|2015-02-27 01:57:02|Apache latency
3|9|mail_be3|Mail|2015-02-27 01:58:13|Capacity exceeded
3|8|mail_fe8|Mail|2015-02-27 01:58:33|Down to ping
5|5|rev_db4|Revenue|2015-02-27 01:59:08|Down to ping
3|10|mail_be2|Mail|2015-02-27 02:00:15|Capacity exceeded
2|1|fp_fe8|Frontpage|2015-02-27 02:00:24|Software error
1|3|rev_fe1|Revenue|2015-02-27 02:01:00|Apache latency
1|2|mail_fe4|Mail|2015-02-27 02:01:39|Apache latency
4|4|fp_db4|Frontpage|2015-02-27 02:01:47|Hardware error
2|9|search_fe7|Search|2015-02-27 02:03:05|Capacity exceeded
2|7|search_fe8|Search|2015-02-27 02:03:17|Hardware error
3|5|fp_fe7|Frontpage|2015-02-27 02:03:18|Down to ping
4|9|flickr_db7|Flickr|2015-02-27 02:04:20|Hardware error
3|4|search_mw6|Search|2015-02-27 02:04:40|Software error
5|6|mail_mon1|Mail|2015-02-27 02:04:46|Severe site latency
3|2|flickr_mw5|Flickr|2015-02-27 02:05:14|Capacity exceeded
3|10|mail_mw1|Mail|2015-02-27 02:05:15|Capacity exceeded
3|8|flickr_fe4|Flickr|2015-02-27 02:05:48|Down to ping
3|9|mail_be8|Mail|2015-02-27 02:06:32|Software error
1|1|flickr_fe8|Flickr|2015-02-27 02:07:12|Apache latency
1|8|fp_fe3|Frontpage|2015-02-27 02:07:26|Apache latency
2|1|flickr_fe8|Flickr|2015-02-27 02:07:34|Software error
4|10|mail_db2|Mail|2015-02-27 02:07:47|Hardware error
3|6|media_mw2|Media|2015-02-27 02:07:55|Capacity exceeded
3|8|search_fe4|Search|2015-02-27 02:08:39|Down to ping
2|9|search_fe8|Search|2015-02-27 02:09:01|Software error
4|1|messenger_db10|Messenger|2015-02-27 02:10:18|Software error
3|4|media_mw4|Media|2015-02-27 02:13:57|Capacity exceeded
3|1|messenger_mw5|Messenger|2015-02-27 02:15:03|Capacity exceeded
5|6|mail_mon1|Mail|2015-02-27 02:15:36|Severe site latency
2|3|rev_fe6|Revenue|2015-02-27 02:16:27|Capacity exceeded
1|9|mail_fe8|Mail|2015-02-27 02:18:16|Apache latency
4|2|flickr_mw9|Flickr|2015-02-27 02:18:20|Down to ping
3|4|search_fe2|Search|2015-02-27 02:18:32|Down to ping
2|8|mail_fe7|Mail|2015-02-27 02:18:48|Software error
4|2|messenger_be8|Messenger|2015-02-27 02:18:50|Down to ping
1|8|search_fe5|Search|2015-02-27 02:22:16|Apache latency
2|8|fp_fe6|Frontpage|2015-02-27 02:22:35|Software error
3|3|rev_be2|Revenue|2015-02-27 02:22:39|Capacity exceeded
5|7|mail_mon1|Mail|2015-02-27 02:23:25|Severe site latency
3|6|search_mw3|Search|2015-02-27 02:23:40|Hardware error
5|8|flickr_db3|Flickr|2015-02-27 02:23:51|Down to ping
4|9|messenger_be7|Messenger|2015-02-27 02:23:52|Down to ping
3|1|mail_be9|Mail|2015-02-27 02:24:02|Software error
4|9|flickr_mw7|Flickr|2015-02-27 02:24:36|Down to ping
4|1|fp_be4|Frontpage|2015-02-27 02:25:05|Down to ping
6|8|search_mon1|Search|2015-02-27 02:25:19|Site down
5|8|rev_mon1|Revenue|2015-02-27 02:25:21|Severe site latency
3|4|rev_fe10|Revenue|2015-02-27 02:26:57|Down to ping
3|1|messenger_fe8|Messenger|2015-02-27 02:27:52|Down to ping
5|10|mail_db10|Mail|2015-02-27 02:27:58|Down to ping
4|1|fp_db2|Frontpage|2015-02-27 02:28:09|Software error
4|6|media_mw8|Media|2015-02-27 02:28:34|Down to ping
4|8|mail_mw1|Mail|2015-02-27 02:29:04|Down to ping
4|2|media_be2|Media|2015-02-27 02:29:13|Down to ping
1|6|media_fe7|Media|2015-02-27 02:29:31|Apache latency
3|7|fp_mw6|Frontpage|2015-02-27 02:31:10|Hardware error
4|6|rev_db9|Revenue|2015-02-27 02:31:24|Software error
3|5|fp_fe9|Frontpage|2015-02-27 02:31:48|Down to ping
4|10|flickr_be7|Flickr|2015-02-27 02:32:02|Down to ping
6|10|search_mon1|Search|2015-02-27 02:32:04|Site down
4|8|fp_mw8|Frontpage|2015-02-27 02:33:10|Down to ping
3|2|flickr_fe5|Flickr|2015-02-27 02:33:26|Down to ping
3|4|media_be3|Media|2015-02-27 02:34:03|Capacity exceeded
4|4|messenger_db5|Messenger|2015-02-27 02:34:43|Software error
4|6|messenger_db9|Messenger|2015-02-27 02:35:58|Capacity exceeded
5|4|rev_mon1|Revenue|2015-02-27 02:36:05|Severe site latency
3|2|media_fe2|Media|2015-02-27 02:36:11|Down to ping
4|10|fp_db3|Frontpage|2015-02-27 02:36:55|Hardware error
4|3|messenger_db10|Messenger|2015-02-27 02:36:57|Hardware error
2|1|search_fe8|Search|2015-02-27 02:37:02|Hardware error
4|3|media_db6|Media|2015-02-27 02:37:23|Capacity exceeded
4|10|search_db3|Search|2015-02-27 02:37:29|Software error
2|8|mail_fe5|Mail|2015-02-27 02:37:30|Hardware error
5|8|media_mon1|Media|2015-02-27 02:38:16|Severe site latency
3|10|fp_mw1|Frontpage|2015-02-27 02:38:21|Hardware error
1|3|media_fe5|Media|2015-02-27 02:39:22|Apache latency
3|10|media_fe3|Media|2015-02-27 02:39:28|Down to ping
3|7|media_fe2|Media|2015-02-27 02:40:57|Down to ping
3|2|mail_fe6|Mail|2015-02-27 02:42:18|Down to ping
4|5|messenger_mw9|Messenger|2015-02-27 02:42:35|Down to ping
2|5|rev_fe2|Revenue|2015-02-27 02:42:58|Hardware error
3|3|flickr_be7|Flickr|2015-02-27 02:43:27|Software error
4|5|flickr_be2|Flickr|2015-02-27 02:44:00|Down to ping
3|4|search_be9|Search|2015-02-27 02:45:33|Hardware error
2|5|rev_fe8|Revenue|2015-02-27 02:48:04|Hardware error
3|3|messenger_mw8|Messenger|2015-02-27 02:48:08|Hardware error
5|1|media_mon1|Media|2015-02-27 02:49:03|Severe site latency
5|9|messenger_mon1|Messenger|2015-02-27 02:49:45|Severe site latency
2|6|media_fe3|Media|2015-02-27 02:50:36|Capacity exceeded
3|10|messenger_be7|Messenger|2015-02-27 02:50:43|Software error
3|10|fp_fe2|Frontpage|2015-02-27 02:50:46|Down to ping
2|9|messenger_fe5|Messenger|2015-02-27 02:52:22|Software error
3|9|mail_mw9|Mail|2015-02-27 02:52:33|Software error
4|2|media_db10|Media|2015-02-27 02:54:04|Hardware error
3|6|rev_fe10|Revenue|2015-02-27 02:54:05|Down to ping
3|4|rev_fe4|Revenue|2015-02-27 02:54:28|Down to ping
3|7|flickr_mw8|Flickr|2015-02-27 02:54:51|Hardware error
4|6|media_db8|Media|2015-02-27 02:55:05|Capacity exceeded
1|7|mail_fe5|Mail|2015-02-27 02:55:08|Apache latency
3|8|messenger_be8|Messenger|2015-02-27 02:56:00|Software error
4|6|fp_db4|Frontpage|2015-02-27 02:56:14|Software error
3|10|fp_mw7|Frontpage|2015-02-27 02:57:22|Capacity exceeded
4|7|media_db5|Media|2015-02-27 02:58:06|Capacity exceeded
1|4|flickr_fe6|Flickr|2015-02-27 02:58:33|Apache latency
3|10|rev_mw2|Revenue|2015-02-27 02:58:57|Software error
5|3|search_mon1|Search|2015-02-27 02:59:49|Severe site latency
3|2|search_be9|Search|2015-02-27 02:59:54|Capacity exceeded
5|7|fp_db5|Frontpage|2015-02-27 03:00:25|Down to ping
4|2|flickr_mw2|Flickr|2015-02-27 03:01:04|Down to ping
4|1|flickr_db8|Flickr|2015-02-27 03:02:06|Hardware error
3|5|rev_mw6|Revenue|2015-02-27 03:02:23|Capacity exceeded
3|8|messenger_mw7|Messenger|2015-02-27 03:03:44|Hardware error
3|4|flickr_be4|Flickr|2015-02-27 03:04:13|Software error
1|8|flickr_fe6|Flickr|2015-02-27 03:05:34|Apache latency
4|4|media_mw2|Media|2015-02-27 03:05:58|Down to ping
3|10|rev_be5|Revenue|2015-02-27 03:06:43|Capacity exceeded
5|10|search_mon1|Search|2015-02-27 03:09:16|Severe site latency
3|10|rev_mw5|Revenue|2015-02-27 03:09:35|Capacity exceeded
4|4|fp_db8|Frontpage|2015-02-27 03:09:50|Software error
5|4|messenger_db6|Messenger|2015-02-27 03:09:58|Down to ping
6|10|fp_mon1|Frontpage|2015-02-27 03:10:13|Site down
3|7|media_be2|Media|2015-02-27 03:11:04|Capacity exceeded
5|10|search_db1|Search|2015-02-27 03:11:07|Down to ping
3|7|flickr_be8|Flickr|2015-02-27 03:11:08|Software error
3|10|fp_mw7|Frontpage|2015-02-27 03:11:10|Capacity exceeded
4|2|search_be6|Search|2015-02-27 03:11:35|Down to ping
4|5|fp_db3|Frontpage|2015-02-27 03:11:56|Hardware error
3|3|fp_mw6|Frontpage|2015-02-27 03:12:08|Capacity exceeded
5|7|mail_mon1|Mail|2015-02-27 03:12:21|Severe site latency
1|10|mail_fe1|Mail|2015-02-27 03:12:39|Apache latency
2|9|flickr_fe7|Flickr|2015-02-27 03:13:17|Capacity exceeded
5|10|messenger_db3|Messenger|2015-02-27 03:13:41|Down to ping
4|3|rev_mw9|Revenue|2015-02-27 03:16:24|Down to ping
4|5|media_db10|Media|2015-02-27 03:16:34|Hardware error
5|10|fp_db4|Frontpage|2015-02-27 03:17:12|Down to ping
1|5|flickr_fe4|Flickr|2015-02-27 03:17:49|Apache latency
4|1|rev_db9|Revenue|2015-02-27 03:18:29|Hardware error
1|6|media_fe6|Media|2015-02-27 03:18:43|Apache latency
4|9|rev_db8|Revenue|2015-02-27 03:20:25|Software error
5|1|flickr_db1|Flickr|2015-02-27 03:20:44|Down to ping
4|2|flickr_mw6|Flickr|2015-02-27 03:21:35|Down to ping
2|9|fp_fe2|Frontpage|2015-02-27 03:21:37|Hardware error
3|5|search_mw1|Search|2015-02-27 03:21:53|Hardware error
3|4|flickr_fe7|Flickr|2015-02-27 03:22:31|Down to ping
4|10|media_mw9|Media|2015-02-27 03:25:01|Down to ping
3|8|search_fe3|Search|2015-02-27 03:25:15|Down to ping
4|9|fp_db8|Frontpage|2015-02-27 03:25:49|Hardware error
4|1|messenger_db10|Messenger|2015-02-27 03:25:55|Capacity exceeded
3|1|flickr_mw4|Flickr|2015-02-27 03:25:55|Hardware error
1|10|search_fe7|Search|2015-02-27 03:26:25|Apache latency
1|1|rev_fe3|Revenue|2015-02-27 03:26:49|Apache latency
3|9|fp_mw1|Frontpage|2015-02-27 03:27:47|Hardware error
2|6|flickr_fe7|Flickr|2015-02-27 03:28:21|Hardware error
3|3|search_fe7|Search|2015-02-27 03:28:43|Down to ping
4|3|media_db5|Media|2015-02-27 03:29:02|Capacity exceeded
2|5|fp_fe8|Frontpage|2015-02-27 03:29:46|Capacity exceeded
3|2|rev_mw5|Revenue|2015-02-27 03:31:05|Hardware error
5|6|search_db4|Search|2015-02-27 03:31:17|Down to ping
3|1|media_fe1|Media|2015-02-27 03:31:32|Down to ping
5|8|mail_mon1|Mail|2015-02-27 03:34:25|Severe site latency
4|9|rev_db6|Revenue|2015-02-27 03:34:36|Hardware error
3|8|rev_mw10|Revenue|2015-02-27 03:35:49|Software error
2|7|flickr_fe7|Flickr|2015-02-27 03:36:00|Capacity exceeded
1|4|mail_fe3|Mail|2015-02-27 03:36:10|Apache latency
5|8|mail_mon1|Mail|2015-02-27 03:36:34|Severe site latency
5|5|mail_mon1|Mail|2015-02-27 03:37:13|Severe site latency
2|5|rev_fe5|Revenue|2015-02-27 03:38:33|Hardware error
3|3|messenger_be6|Messenger|2015-02-27 03:38:53|Software error
3|9|mail_mw9|Mail|2015-02-27 03:41:32|Capacity exceeded
4|1|mail_db1|Mail|2015-02-27 03:43:03|Hardware error
1|3|flickr_fe6|Flickr|2015-02-27 03:44:24|Apache latency
1|4|flickr_fe3|Flickr|2015-02-27 03:44:45|Apache latency
1|6|fp_fe3|Frontpage|2015-02-27 03:45:19|Apache latency
4|3|messenger_db8|Messenger|2015-02-27 03:45:23|Software error
4|10|flickr_db2|Flickr|2015-02-27 03:47:33|Software error
6|9|mail_mon1|Mail|2015-02-27 03:47:39|Site down
3|1|flickr_mw1|Flickr|2015-02-27 03:47:43|Software error
5|1|flickr_db2|Flickr|2015-02-27 03:48:15|Down to ping
1|5|flickr_fe3|Flickr|2015-02-27 03:49:11|Apache latency
1|6|media_fe6|Media|2015-02-27 03:49:12|Apache latency
3|3|fp_be4|Frontpage|2015-02-27 03:49:21|Software error
6|9|media_mon1|Media|2015-02-27 03:50:05|Site down
1|6|media_fe5|Media|2015-02-27 03:50:19|Apache latency
4|9|search_be1|Search|2015-02-27 03:50:44|Down to ping
1|5|media_fe7|Media|2015-02-27 03:51:00|Apache latency
3|2|media_mw4|Media|2015-02-27 03:51:04|Hardware error
4|3|fp_db9|Frontpage|2015-02-27 03:51:28|Capacity exceeded
3|5|rev_fe8|Revenue|2015-02-27 03:51:59|Down to ping
4|9|media_db7|Media|2015-02-27 03:53:27|Software error
3|10|search_fe2|Search|2015-02-27 03:53:44|Down to ping
2|1|media_fe2|Media|2015-02-27 03:55:20|Software error
1|2|search_fe5|Search|2015-02-27 03:55:31|Apache latency
4|6|search_mw1|Search|2015-02-27 03:55:50|Down to ping
5|9|flickr_mon1|Flickr|2015-02-27 03:55:54|Severe site latency
4|10|rev_db7|Revenue|2015-02-27 03:56:25|Software error
1|7|search_fe6|Search|2015-02-27 03:58:08|Apache latency
3|10|search_mw8|Search|2015-02-27 03:58:26|Software error
3|4|search_be6|Search|2015-02-27 03:59:08|Hardware error
4|1|fp_db6|Frontpage|2015-02-27 03:59:35|Capacity exceeded
1|8|mail_fe5|Mail|2015-02-27 03:59:58|Apache latency
3|1|fp_mw4|Frontpage|2015-02-27 04:00:35|Capacity exceeded
3|6|rev_fe1|Revenue|2015-02-27 04:00:48|Down to ping
4|6|fp_be10|Frontpage|2015-02-27 04:00:55|Down to ping
3|9|media_fe1|Media|2015-02-27 04:03:18|Down to ping
2|5|search_fe4|Search|2015-02-27 04:03:18|Hardware error
4|1|mail_db10|Mail|2015-02-27 04:03:43|Software error
4|7|messenger_db7|Messenger|2015-02-27 04:04:33|Hardware error
1|6|search_fe6|Search|2015-02-27 04:06:06|Apache latency
4|5|messenger_be9|Messenger|2015-02-27 04:06:36|Down to ping
1|3|mail_fe7|Mail|2015-02-27 04:06:39|Apache latency
3|1|mail_fe1|Mail|2015-02-27 04:07:50|Down to ping
3|3|mail_be5|Mail|2015-02-27 04:09:13|Software error
4|1|mail_db10|Mail|2015-02-27 04:09:23|Hardware error
3|5|mail_fe10|Mail|2015-02-27 04:09:36|Down to ping
4|3|search_be7|Search|2015-02-27 04:09:39|Down to ping
3|10|flickr_be10|Flickr|2015-02-27 04:10:09|Software error
6|5|flickr_mon1|Flickr|2015-02-27 04:10:10|Site down
6|2|flickr_mon1|Flickr|2015-02-27 04:10:19|Site down
4|10|mail_db4|Mail|2015-02-27 04:10:28|Capacity exceeded
3|5|fp_fe9|Frontpage|2015-02-27 04:10:43|Down to ping
5|3|media_db4|Media|2015-02-27 04:10:50|Down to ping
3|2|search_be9|Search|2015-02-27 04:11:22|Hardware error
1|9|media_fe5|Media|2015-02-27 04:11:42|Apache latency
4|3|mail_be7|Mail|2015-02-27 04:12:12|Down to ping
2|6|rev_fe6|Revenue|2015-02-27 04:12:12|Capacity exceeded
3|4|media_be9|Media|2015-02-27 04:12:40|Hardware error
4|7|fp_be8|Frontpage|2015-02-27 04:14:33|Down to ping
4|1|messenger_mw10|Messenger|2015-02-27 04:14:40|Down to ping
4|6|messenger_mw8|Messenger|2015-02-27 04:14:50|Down to ping
5|1|mail_mon1|Mail|2015-02-27 04:16:06|Severe site latency
2|4|rev_fe7|Revenue|2015-02-27 04:16:37|Software error
2|2|mail_fe2|Mail|2015-02-27 04:18:16|Hardware error
4|1|rev_db4|Revenue|2015-02-27 04:19:15|Software error
